Numero;Partie;NbJoueurs;Titre;Gagnant;Premium;Vocale;Mumble;Anonyme;Sans Points;Selective;MDJ;Capitaine;VO;VC;St-Patrick;Halloween;Créateur;dateDebut;dateFin;heureDebut;heureFin;Duree;nbVotes;nbDevotes;NbInterventions;Simple Villageois;Loup-Garou;Voyante;Salvateur;Sorcière;Chasseur;Chasseur Bavard;Cupidon;Ancien;Loup-Garou Blanc;Chaman;Voleur;Petite Fille;Idiot du Village;Bouc émissaire;Joueur de Flûte;Enfant Sauvage;Corbeau;Villageois-Villageois;Ange;Infect Père des Loups;Grand Méchant Loup;Soeurs;Montreur d'Ours;Renard;Chien Loup;Frères;Chevalier à l'Epée rouillée;Marionnettiste;Juge Bègue;Voyante Bavarde;Lapin Blanc;Ankou;Noctambule;Couple
3737771;Normale;0;TUTORIEL;Villageois;None;False;False;False;None;None;False;False;False;False;None;None; ;01/01/1970;01/01/1970;14h14;14h18;24172638;9;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3737774;Carnage;6;louploup;Amoureux;None;False;False;False;None;None;False;False;False;False;None;None;Borisscat;17/12/2015;17/12/2015;14h28;14h31;3;3;0;21;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Borisscat-Werewolf7
3737776;Fun;9;Vechnost';Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Sebala;17/12/2015;17/12/2015;14h52;15h04;12;15;2;77;3;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3737778;Fun;13;Papaoutai;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;papa40;17/12/2015;17/12/2015;14h24;14h45;21;39;2;129;0;3;0;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;Viggo488-Ladywick
3737782;Fun;13;BIBI !!;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Kamel93;17/12/2015;17/12/2015;14h21;14h38;17;19;5;104;0;3;0;1;1;1;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Skwat-Kamel93
3737788;Fun;13;Techno;Loup-Blanc;None;False;False;False;None;None;False;False;False;False;None;None;Wendy45;17/12/2015;17/12/2015;14h55;15h13;18;28;0;127;0;2;0;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Wendy45-Dalboz
3737792;Fun;14;Winnie L'Ourson;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;Astera;17/12/2015;17/12/2015;14h38;15h02;23;27;1;138;0;3;0;1;1;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Werewolf7-nehosan
3737793;Fun;8;Love Wange;Ange;None;False;False;False;None;None;False;False;False;False;None;None;Misstqcrvr;17/12/2015;17/12/2015;14h27;14h32;5;7;0;24;0;2;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Tomrevange-Misstqcrvr
3737794;Fun;18;Fun !!;Ange;None;False;False;False;None;None;False;False;False;False;None;None;Yougaka37;17/12/2015;17/12/2015;14h34;14h40;6;13;2;53;0;3;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;mdchris-Yougaka37
3737795;Carnage;6;Khorane's Lover;Amoureux;None;False;False;False;None;None;False;False;False;False;None;None;Poaak;17/12/2015;17/12/2015;14h28;14h32;4;2;0;6;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;satanas99-Pakkuu
3737805;Carnage;6;Khorane's Lover;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Poaak;17/12/2015;17/12/2015;14h33;14h37;4;3;0;27;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;satanas99-Pakkuu
3737814;Fun;18;Fun !!;Joueur de Flûte;None;False;False;False;None;None;False;False;False;False;None;None;Yougaka37;17/12/2015;17/12/2015;14h42;15h07;25;69;5;246;0;3;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;Ansnow-Doudou0107
